Test,Value,Percentage,Verdict
Δ₁ Accuracy,-0.029670329670329676,-2.9670329670329676,FAILURE
Δ₁ AUC,-0.02078085637324978,-2.078085637324978,FAILURE
Δ₁ Precision,-0.02479226273095969,-2.479226273095969,FAILURE
Δ₂ On-chain,-0.00659340659340657,-0.659340659340657,N/A
