Model,Accuracy,AUC,Precision,Recall,F1
Price-only,0.4978021978021978,0.48815529477263436,0.513401096434209,0.6545989440780126,0.5736084292475014
On-chain-only,0.5043956043956044,0.4987496834658007,0.523236476767777,0.5593197828330416,0.5338982570917082
Hybrid,0.512087912087912,0.5018968147505195,0.5234741882779234,0.6658678452311512,0.5849692048272179
