date,action,confidence,veto,target,return
2017-12-31 00:00:00+00:00,NO_TRADE,0.054099312529783075,Below 0.50,1,0.0
2018-01-01 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-01-02 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-01-03 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],1,0.0
2018-01-04 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],1,0.0
2018-01-05 00:00:00+00:00,NO_TRADE,0.0,['whale_misalignment:whale_reducing'],1,0.0
2018-01-06 00:00:00+00:00,LONG,0.9327961906658536,,1,0.11896325917442108
2018-01-07 00:00:00+00:00,LONG,0.8678302183460626,,1,0.17957366446380812
2018-01-08 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-01-09 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-01-10 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-01-11 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-01-12 00:00:00+00:00,NO_TRADE,0.22323090148298652,Below 0.50,1,0.0
2018-01-13 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-01-14 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-01-15 00:00:00+00:00,SHORT,0.8663555393989234,,-1,0.2628130620242596
2018-01-16 00:00:00+00:00,SHORT,0.7665950801806783,,0,0.03091282347637192
2018-01-17 00:00:00+00:00,NO_TRADE,0.29252285319229127,Below 0.50,0,0.0
2018-01-18 00:00:00+00:00,NO_TRADE,0.13150044586059031,Below 0.50,1,0.0
2018-01-19 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],0,0.0
2018-01-20 00:00:00+00:00,NO_TRADE,0.0,"['btc_conflict', 'whale_misalignment:whale_accumulating']",-1,0.0
2018-01-21 00:00:00+00:00,NO_TRADE,0.0,"['btc_conflict', 'whale_misalignment:whale_accumulating']",-1,0.0
2018-01-22 00:00:00+00:00,NO_TRADE,0.10428429779047306,Below 0.50,1,0.0
2018-01-23 00:00:00+00:00,NO_TRADE,0.079077658085591,Below 0.50,1,0.0
2018-01-24 00:00:00+00:00,NO_TRADE,0.2735348996215341,Below 0.50,0,0.0
2018-01-25 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-01-26 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-01-27 00:00:00+00:00,NO_TRADE,0.2598700977248649,Below 0.50,1,0.0
2018-01-28 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-01-29 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-01-30 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-01-31 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-02-01 00:00:00+00:00,SHORT,0.8181597229308945,,-1,0.19010082436597917
2018-02-02 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-02-03 00:00:00+00:00,SHORT,0.9139692273553036,,-1,0.09123029380832127
2018-02-04 00:00:00+00:00,SHORT,0.8604302321435155,,-1,0.3193804551523971
2018-02-05 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-02-06 00:00:00+00:00,NO_TRADE,0.40000035381166815,Below 0.50,1,0.0
2018-02-07 00:00:00+00:00,SHORT,0.5369170761036057,,0,-0.027718097602197567
2018-02-08 00:00:00+00:00,NO_TRADE,0.0,"['btc_conflict', 'whale_misalignment:whale_accumulating']",1,0.0
2018-02-09 00:00:00+00:00,NO_TRADE,0.11478021527955076,Below 0.50,1,0.0
2018-02-10 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-02-11 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-02-12 00:00:00+00:00,NO_TRADE,0.0,['whale_misalignment:whale_accumulating'],0,0.0
2018-02-13 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-02-14 00:00:00+00:00,LONG,0.727389528368532,,1,0.10737937780128518
2018-02-15 00:00:00+00:00,NO_TRADE,0.0,"['btc_conflict', 'whale_misalignment:whale_reducing']",0,0.0
2018-02-16 00:00:00+00:00,NO_TRADE,0.0,['whale_misalignment:whale_reducing'],0,0.0
2018-02-17 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-02-18 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-02-19 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-02-20 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-02-21 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
