feature,spearman_corr,cohens_d,up_mean,down_mean,signal_strength,effect_strength,semantic_class
whale_conviction_index,0.04031642013086965,0.08089317118236285,0.03875968992248062,0.02459016393442623,0.04031642013086965,0.08089317118236285,NOISE
whale_accumulation,-0.03200296195557682,-0.06398532529305377,0.3624031007751938,0.39344262295081966,0.03200296195557682,0.06398532529305377,NOISE
whale_momentum_chase,-0.028068350070474344,-0.0561013508136876,0.25387596899224807,0.2786885245901639,0.028068350070474344,0.0561013508136876,NOISE
whale_panic_index,0.023296065915397936,0.046634675420648024,0.06201550387596899,0.05122950819672131,0.023296065915397936,0.046634675420648024,NOISE
whale_contrarian,-0.012510900814245593,-0.025002688206448884,0.21705426356589147,0.22745901639344263,0.012510900814245593,0.025002688206448884,NOISE
exchange_inflow_pressure,0.003867629758825571,0.029216088997634265,0.3542822790697675,0.3517666844262295,0.003867629758825571,0.029216088997634265,NOISE
exchange_outflow_strength,0.0036241960836256525,0.010248224751201726,0.03711104651162791,0.03673309426229508,0.0036241960836256525,0.010248224751201726,NOISE
whale_distribution,0.002048387346248386,0.004094290594116363,0.5,0.4979508196721312,0.002048387346248386,0.004094290594116363,NOISE
