block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_eth,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_eth,std_whale_tx_size_eth,whale_exchange_deposits_eth,whale_exchange_withdrawals_eth,whale_net_exchange_flow_eth,whale_tx_count,whale_volume_eth,withdrawal_tx_count,btc_price,eth_price,exchange_flow_share,tx_per_active_zscore_90d,eth_burned_delta_1d,block_fullness_delta_1d,median_gas_delta_1d,net_exchange_flow_ratio,median_gas_delta_7d,tx_per_active_delta_1d,whale_volume_ratio_delta_3d,smart_contract_ratio_delta_1d,whale_exchange_asymmetry,whale_exchange_flow_ratio,eth_burned_zscore_90d,whale_tx_zscore_90d,whale_volume_ratio,whale_volume_ratio_delta_1d,eth_ret_lag1,eth_ret_lag2,eth_ret_lag3,eth_ret_lag7,eth_vol7,eth_vol30,eth_rsi,btc_ret_lag1,btc_ret_lag2,btc_ret_lag3,btc_ret_lag7,btc_vol7,btc_vol30,btc_rsi,eth_btc_ratio,eth_btc_ratio_ma7,eth_btc_corr_30d,exchange_volume_zscore,rolling_vol_30,return_t2,threshold_t2,target_t2,y_long_t2,y_short_t2,btc_regime,vol_regime,regime,regime_code,dist_regime
2017-10-26 00:00:00+00:00,10,0.7819,0.1126,0.788,157,441412.8214,-22537.1247,0.8874,260,497122.7981,3089.308402,27667.8868,35385.53,7717.6432,277,560176.2149,7,5883.05318447111,295.7078546189935,0.012131,0.2246,0.0,-0.010509,0.2812,0.001895,-4.3245,-0.1416,-0.030293999999999988,-0.011827,0.086774,0.000596,0.0,0.0,0.241486,0.02060300000000001,-0.0009100784977034778,0.03176802161041693,-0.02077079008431018,-0.019206146121663395,0.01896850457010377,0.0,0.0,0.027508410850497107,-0.07125500783326841,-0.007269003587343172,0.018354032304112512,0.03737666467753167,0.0,0.0,0.05026435174843278,0.05123221253698979,0.0,0.0,0.019120506714938635,0.002557019474919291,0.0,0,0,0,FLAT,LOW,FLAT_LOW,R0,False
2017-10-27 00:00:00+00:00,3,0.384,0.0396,1.0,275,507413.8203,-21374.0733,0.9604,268,487295.1218,2061.391479,5582.1402,14536.5583,8954.4181,275,507413.8203,4,5775.51666530736,297.9291296930045,0.005764,0.6399,0.0,0.008863,-0.2732,0.001572,-1.5963,0.0859,-0.011219000000000007,0.004979,0.403519,0.000865,0.0,0.0,0.224324,0.0024909999999999932,-0.009344229596939337,-0.0009100784977034778,0.03176802161041693,-0.02003300357371653,0.01830416632899033,0.0,0.0,0.030754837654839603,0.027508410850497107,-0.07125500783326841,0.04402597552469913,0.03851147394325902,0.0,0.0,0.05158484460491975,0.050676726214063224,0.0,0.0,0.019026975148773845,0.019320155501154145,0.0,0,0,0,FLAT,LOW,FLAT_LOW,R0,False
2017-10-28 00:00:00+00:00,1,1.2878,0.0253,1.0,257,443776.5297,-21180.0825,0.9747,254,432566.5397,1020.161497,6310.0,4899.99,-1410.01,257,443776.5297,2,5734.30745398276,296.4649529071602,0.003869,0.0904,0.0,-0.054352,-2.262,0.00061,-5.3313,-0.1004,0.005931999999999993,-0.058103,-0.21448,-0.000213,0.0,0.0,0.217211,-0.01716200000000001,0.007483649097275356,-0.009344229596939337,-0.0009100784977034778,-0.005514150504196325,0.017743906779325243,0.0,0.0,-0.018448157946988876,0.030754837654839603,0.027508410850497107,0.01520365427181426,0.034925731954236254,0.0,0.0,0.05170021930045809,0.05078990971662463,0.0,0.0,0.018196749554874034,0.0324709948234142,0.0,0,0,0,FLAT,LOW,FLAT_LOW,R0,False
2017-10-29 00:00:00+00:00,3,1.2638,0.0326,1.0,266,563534.1914,-21733.6675,0.9674,260,545175.7018,3431.754831,10248.9896,8109.5,-2139.4896,266,563534.1914,3,6123.54977135535,303.74113040048763,0.005335,0.148,0.0,0.016334,-0.6437,0.000872,-2.1706,0.0111,-0.021784000000000026,0.002918,-0.171802,-0.000293,0.0,0.0,0.24584,-0.007113000000000008,-0.004926629622356065,0.007483649097275356,-0.009344229596939337,-0.017463558208400915,0.017726487010755264,0.0,0.0,-0.007160732776561971,-0.018448157946988876,0.030754837654839603,-0.006723900854603126,0.03384857003787526,0.0,0.0,0.04960213303422851,0.0510683588122058,0.0,0.0,0.019767293115959025,-0.0006554219301790638,0.0,0,0,0,DOWN,LOW,DOWN_LOW,R4,False
2017-10-30 00:00:00+00:00,6,3.5601,0.0196,0.8917,238,623453.4962,-1983.03,0.9804,306,685527.0618,2654.277798,10680.2984,3000.0,-7680.2984,314,699207.3601,2,6104.38870915078,306.2494615338919,0.005375,1.0445,0.0,0.05794,2.5831,-0.000221,-7.3703,0.1656,0.004353999999999997,-0.008455,-0.561413,-0.00071,0.0,0.0,0.235811,0.028629000000000016,0.02424678512351021,-0.004926629622356065,0.007483649097275356,-0.02077079008431018,0.01865724115211729,0.0,29.416863039872908,0.06567497088870056,-0.007160732776561971,-0.018448157946988876,-0.007269003587343172,0.04374445467554791,0.0,59.89990297896524,0.05016873533541677,0.05112300281239318,0.0,0.0,0.019413602337435026,-0.04651485959345731,0.0,0,0,0,FLAT,LOW,FLAT_LOW,R0,False
2017-10-31 00:00:00+00:00,4,0.4672,0.0443,0.6911,177,371970.0743,-118.4235,0.9557,333,514380.3283,1659.275475,7588.8758,16243.3461,8654.4703,344,538212.5502,7,6368.65164135745,303.54211702851427,0.006953,0.8869,0.0,0.047884,0.6445,0.001758,-4.6506,-0.0177,0.011486999999999997,0.061924,0.388215,0.000839,0.0,0.0,0.215709,-0.01002900000000001,0.00822420969990399,0.02424678512351021,-0.004926629622356065,0.03176802161041693,0.01514629434746788,0.0,32.0073955496845,-0.003133983364114182,0.06567497088870056,-0.007160732776561971,-0.07125500783326841,0.043613082934242556,0.0,59.347062513253206,0.04766191246155452,0.051352888093657,0.0,0.0,0.018724751182259636,-0.05579543742610098,0.0,0,0,0,FLAT,LOW,FLAT_LOW,R0,False
2017-11-01 00:00:00+00:00,6,4.2402,0.0265,1.0,317,770143.1135,209.4459,0.9735,309,749716.3111,2733.854023,16528.7073,3898.095,-12630.6123,317,770143.1135,2,6714.78898671902,292.33053872865435,0.007933,0.0409,0.0,0.012651,3.2375,0.001209,3.5674,-0.1431,-0.0015019999999999756,-0.013904,-0.40799,-0.000728,0.0,0.0,0.243874,-0.02010199999999998,-0.008879631630083054,0.00822420969990399,0.02424678512351021,-0.0009100784977034778,0.01201889362519872,0.0,37.81719944447373,0.04237980091370007,-0.003133983364114182,0.06567497088870056,0.027508410850497107,0.030302388997928545,0.0,66.4611836324853,0.043535327663586476,0.050471865481404934,0.0,0.0,0.019746362115124625,0.045187645947899154,0.0,0,0,0,UP,LOW,UP_LOW,R2,False
2017-11-02 00:00:00+00:00,19,1.2022,0.0828,0.8243,327,729655.4532,-1853.9671,0.9172,450,811963.5703,2134.214375,39998.5329,33272.285,-6726.2479,483,885234.3882,14,7059.7938605488,287.0696687458828,0.010797,-0.6534,0.0,0.00711,5.4841,0.000449,8.7703,-0.1183,-0.0019659999999999955,-0.021144,-0.099799,-0.000483,0.0,0.0,0.206479,0.028164999999999996,-0.037635227963374256,-0.008879631630083054,0.00822420969990399,-0.009344229596939337,0.01939245231132598,0.0,33.142624589036245,0.05292463139267558,0.04237980091370007,-0.003133983364114182,0.030754837654839603,0.03281866611701276,0.0,72.25266734784555,0.04066261344400885,0.04921678916408528,0.0,0.0,0.019279129188089602,0.04390722998999059,0.0,0,0,0,UP,LOW,UP_LOW,R2,False
2017-11-03 00:00:00+00:00,6,0.8354,0.0438,0.7367,211,471349.697,-2774.422,0.9562,370,611832.2603,1989.191571,12746.888,15258.122,2511.234,380,639837.2703,4,7234.73838202036,305.8432726789198,0.007398,0.5088,0.0,-0.061221,-8.1754,0.000971,0.8681,0.1902,-0.029331999999999997,-0.013494,0.119201,0.000278,0.0,0.0,0.20495,-0.03739500000000001,-0.018160209462726725,-0.037635227963374256,-0.008879631630083054,0.007483649097275356,0.020146581047123045,0.0,33.30358789554373,0.050103447541810106,0.05292463139267558,0.04237980091370007,-0.018448157946988876,0.03433258551732352,0.0,74.2432417647228,0.04227426847099211,0.04784511226345328,0.0,0.0,0.025238586260849256,-0.027600337739448453,0.0,0,0,0,UP,LOW,UP_LOW,R2,False
2017-11-04 00:00:00+00:00,5,1.1831,0.0363,0.7162,135,299412.0326,-2754.7706,0.9637,245,402901.6672,2597.752713,8220.4158,6947.9656,-1272.4501,254,418070.0486,4,7390.53522652395,299.9549103522952,0.007023,0.6628,0.0,-0.145137,-2.68,0.001159,0.45,0.0282,-0.010759000000000019,-0.036268,-0.07484,-0.00015,0.0,0.0,0.241738,-0.0015290000000000026,0.06334785541062588,-0.018160209462726725,-0.037635227963374256,-0.004926629622356065,0.03270990379389278,0.0,52.21629703961037,0.024478346520859322,0.050103447541810106,0.05292463139267558,-0.007160732776561971,0.028377293897486253,0.0,73.05302646028116,0.04058635824855887,0.04651502995860647,0.0,0.0,0.024764139963949366,0.004709217669058163,0.0,0,0,0,UP,LOW,UP_LOW,R2,False
