decision,up_prob,down_prob,confidence,actual_direction,actual_return
NO_TRADE,0.5263043148398848,0.47369568516011523,0.0,1,0.0322547060414576
NO_TRADE,0.5216701506652912,0.47832984933470885,0.0,1,0.0066535968273015
NO_TRADE,0.5225347961411408,0.47746520385885916,0.0,1,0.0164810741283249
NO_TRADE,0.5194088829179652,0.48059111708203495,0.0,1,6.387255449691147e-05
NO_TRADE,0.5156367711855153,0.4843632288144846,0.0,0,-0.014440117365083
NO_TRADE,0.5156743768139299,0.48432562318607003,0.0,1,0.0164943205472439
NO_TRADE,0.521060823697782,0.478939176302218,0.0,1,0.0586890081289581
NO_TRADE,0.5243091807077437,0.47569081929225626,0.0,1,0.0204852198834221
NO_TRADE,0.5078744400850722,0.49212555991492773,0.0,0,-0.0237677710757793
NO_TRADE,0.5060109261526027,0.4939890738473973,0.0,0,-0.0076075234845695
NO_TRADE,0.5128164695500069,0.487183530449993,0.0,0,-0.00771791983956
NO_TRADE,0.5181005389011366,0.4818994610988634,0.0,1,0.0014663333375325
NO_TRADE,0.519639457445948,0.48036054255405203,0.0,1,0.0345225922311652
NO_TRADE,0.5179489689126212,0.48205103108737873,0.0,1,0.0114771250364245
NO_TRADE,0.5178961636132906,0.4821038363867094,0.0,1,0.0284872177484364
NO_TRADE,0.5210488562646728,0.47895114373532716,0.0,1,0.1046952033955773
LONG,0.5308537634338212,0.46914623656617876,0.06170752686764236,1,0.0635744084646632
NO_TRADE,0.5291638319215832,0.4708361680784168,0.0,1,0.0007333979269626
NO_TRADE,0.5146158105556949,0.4853841894443051,0.0,0,-0.0049158839673017
NO_TRADE,0.509301922534729,0.490698077465271,0.0,0,-0.003760716459551
NO_TRADE,0.5081953919917878,0.4918046080082122,0.0,0,-0.032110837448981
NO_TRADE,0.5029617334006432,0.49703826659935674,0.0,0,-0.0709560346685942
NO_TRADE,0.5003201357867363,0.49967986421326366,0.0,0,-0.0579248471716645
NO_TRADE,0.4935022430481855,0.5064977569518144,0.0,0,-0.0457422522506099
NO_TRADE,0.5066152071373375,0.49338479286266246,0.0,0,-0.0227974088502912
NO_TRADE,0.5041112978075496,0.49588870219245046,0.0,0,-0.0069788725807617
NO_TRADE,0.5061372875275151,0.49386271247248487,0.0,0,-0.0177102641794809
NO_TRADE,0.5123921248036857,0.4876078751963142,0.0,1,0.0245398650134328
NO_TRADE,0.5168772060474999,0.48312279395250024,0.0,1,0.0361225173147894
NO_TRADE,0.5159588576439591,0.4840411423560409,0.0,1,0.0041630060229543
NO_TRADE,0.5190747321983161,0.48092526780168393,0.0,1,0.0013786736276378
NO_TRADE,0.5184152211057214,0.48158477889427864,0.0,1,0.0016178536737081
NO_TRADE,0.5047941497387755,0.4952058502612246,0.0,0,-0.0309682286961158
NO_TRADE,0.5064678037759808,0.49353219622401917,0.0,0,-0.0329986258958012
NO_TRADE,0.5215496172252682,0.4784503827747318,0.0,1,0.0127852542962709
NO_TRADE,0.5169458688766615,0.4830541311233385,0.0,1,0.026469561662565
NO_TRADE,0.5138477049304893,0.48615229506951074,0.0,1,0.0326081425498286
NO_TRADE,0.5133980467289087,0.4866019532710914,0.0,1,0.0205213022977872
NO_TRADE,0.4994120026750985,0.5005879973249014,0.0,0,-0.0105576978537333
NO_TRADE,0.5013825097063358,0.4986174902936642,0.0,0,-0.0392349708121079
NO_TRADE,0.49399385798705353,0.5060061420129465,0.0,0,-0.0343933546984224
NO_TRADE,0.5022129180797,0.4977870819202999,0.0,0,-0.0040091877412621
NO_TRADE,0.5024701570357909,0.4975298429642092,0.0,0,-0.0160368600982527
NO_TRADE,0.5046475659622721,0.49535243403772794,0.0,0,-0.0417470787705639
NO_TRADE,0.5026694021204642,0.49733059787953576,0.0,0,-0.0073279557485321
NO_TRADE,0.5173768710951482,0.48262312890485193,0.0,1,0.0155961769262654
NO_TRADE,0.5092117422531165,0.49078825774688345,0.0,1,0.012608805296153
NO_TRADE,0.512094186414939,0.48790581358506097,0.0,1,0.0079218973530846
NO_TRADE,0.5060939378136032,0.4939060621863967,0.0,0,-0.006306954708793
NO_TRADE,0.5077962209395636,0.49220377906043633,0.0,0,-0.001151483884883
NO_TRADE,0.5099454821370261,0.490054517862974,0.0,0,-0.0026345800567333
NO_TRADE,0.5114260688174118,0.48857393118258824,0.0,0,-0.0004365898179604
NO_TRADE,0.5193389931440788,0.48066100685592117,0.0,1,0.002522489070134
NO_TRADE,0.5132734651125149,0.486726534887485,0.0,0,-0.0014435649622631
NO_TRADE,0.5201641807689892,0.4798358192310109,0.0,1,0.0199252332568316
NO_TRADE,0.5196883461139246,0.48031165388607544,0.0,1,0.0011586251041127
NO_TRADE,0.5165935083552875,0.48340649164471244,0.0,0,-0.0315402705310741
NO_TRADE,0.5182247392949667,0.4817752607050332,0.0,1,0.0020252260073131
NO_TRADE,0.5202703212308526,0.4797296787691474,0.0,1,0.0197337624996106
NO_TRADE,0.5182902632392924,0.48170973676070766,0.0,1,0.0167585802466021
NO_TRADE,0.514510477776286,0.48548952222371405,0.0,1,0.0379725619510609
NO_TRADE,0.5135757795790322,0.48642422042096783,0.0,1,0.0289225177643925
NO_TRADE,0.5045833554311229,0.4954166445688772,0.0,0,-0.0135012064075726
NO_TRADE,0.5059372448596785,0.49406275514032155,0.0,0,-0.0206946181312489
NO_TRADE,0.517941723100304,0.482058276899696,0.0,1,0.008323714496605
NO_TRADE,0.5224741919553101,0.47752580804468997,0.0,1,0.0189633030770404
NO_TRADE,0.5142494504471267,0.48575054955287333,0.0,1,0.0057516195326297
NO_TRADE,0.49887567800813654,0.5011243219918634,0.0,0,-0.0246281127811334
