Model,Accuracy,AUC,Precision,Recall,F1
Price-only,0.532967032967033,0.5375566521007086,0.5457170423989244,0.6606982416259103,0.5872998372721911
On-chain-only,0.4978021978021978,0.49988303692128155,0.5251325479478408,0.5074572364678327,0.5123012129707976
Hybrid,0.5076923076923077,0.5209293051746209,0.5244196557316767,0.6088019271903,0.5545041978592596
