Model,Accuracy,AUC,Precision (Up),Recall (Up),F1 (Up)
Price-only,0.532967032967033,0.5375566521007086,0.5457170423989244,0.6606982416259103,0.5872998372721911
On-chain-only,0.49340659340659343,0.4930527860790691,0.5201744108468468,0.5058209323334376,0.5090028728248785
Hybrid,0.5032967032967033,0.5167757957274588,0.5209247796679647,0.6038683773129041,0.5504173776492982
