feature_set,acc,auc,prec_up,prec_down
price,0.48,0.5379041036935774,0.48461538461538456,0.31
onchain,0.5066666666666666,0.521241550846814,0.4912005108556833,0.4666666666666666
hybrid,0.5066666666666666,0.507763885724412,0.50010582010582,0.28888888888888886
