date,regime,action,tier,confidence,veto,position_size,actual_target,strategy_return,market_return
2023-02-15 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.057895002567866546
2023-02-16 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.002441853045326948
2023-02-17 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.013914611687995354
2023-02-18 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.0015061822822040314
2023-02-19 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.006012798762297444
2023-02-20 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.03740895127641209
2023-02-21 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.01666066527527322
2023-02-22 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.000660830191579408
2023-02-23 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.03612147517626902
2023-02-24 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.016087656910798036
2023-02-25 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.02466183755563333
2023-02-26 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.013376477841623966
2023-02-27 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.005681043027146976
2023-02-28 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.008541156097844409
2023-03-01 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.044984998346414805
2023-03-02 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.046607297856980465
2023-03-03 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0027133108486460914
2023-03-04 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0008947130921459193
2023-03-05 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0026718209422505303
2023-03-06 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.0061839365761318195
2023-03-07 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.029278889517892974
2023-03-08 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.09602610530411733
2023-03-09 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.049076379694896796
2023-03-10 00:00:00+00:00,R3,NO_TRADE,,0.017991024381900457,Below beta threshold (0.018 < 0.55),0.0,1,0.0,0.049420772319478265
2023-03-11 00:00:00+00:00,R3,NO_TRADE,,0.018215834283279195,Below beta threshold (0.018 < 0.55),0.0,1,0.0,0.11685381594622384
2023-03-12 00:00:00+00:00,R3,NO_TRADE,,0.02644735649802277,Below beta threshold (0.026 < 0.55),0.0,1,0.0,0.1372075364051356
2023-03-13 00:00:00+00:00,R3,NO_TRADE,,0.05872277282602609,Below beta threshold (0.059 < 0.55),0.0,1,0.0,0.033478429172992784
2023-03-14 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.024756326842720437
2023-03-15 00:00:00+00:00,R1,LONG,ALPHA,0.9569795959994223,,1.0,1,0.02786418056608629,0.02786418056608629
2023-03-16 00:00:00+00:00,R1,LONG,ALPHA,0.9262244185022902,,1.0,1,0.08588475317067817,0.08588475317067817
2023-03-17 00:00:00+00:00,R1,LONG,ALPHA,0.9385574808540532,,1.0,1,0.03890096757082725,0.03890096757082725
2023-03-18 00:00:00+00:00,R1,NO_TRADE,,0.08204114419551031,Below beta threshold (0.082 < 0.55),0.0,-1,0.0,-0.019219193369794926
2023-03-19 00:00:00+00:00,R1,NO_TRADE,,0.19668096423099066,Below beta threshold (0.197 < 0.55),0.0,0,0.0,-0.009372284400803255
2023-03-20 00:00:00+00:00,R1,NO_TRADE,,0.4950054799504049,Below beta threshold (0.495 < 0.55),0.0,0,0.0,0.008976278818670523
2023-03-21 00:00:00+00:00,R1,NO_TRADE,,0.09494193973714908,Below beta threshold (0.095 < 0.55),0.0,0,0.0,0.0007487136944084732
2023-03-22 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.00019099217642053103
2023-03-23 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.014171133835743751
2023-03-24 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.01309984271389951
2023-03-25 00:00:00+00:00,R2,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,-0.006551323812315197
2023-03-26 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,-1,0.0,-0.018281813704845
2023-03-27 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.030016293920334378
2023-03-28 00:00:00+00:00,R0,NO_TRADE,,0.0,Non-tradeable regime,0.0,1,0.0,0.0322547060414576
2023-03-29 00:00:00+00:00,R4,NO_TRADE,,0.0,Non-tradeable regime,0.0,0,0.0,0.006653596827301517
