entry_date,exit_date,regime,entry_price,exit_price,gross_ret,net_ret,confidence,direction,structural_score,flow_score,context_score
2017-12-21 00:00:00+00:00,2017-12-23 00:00:00+00:00,R5,812.885159103535,715.719068265809,0.1195323715159009,0.1171323715159009,0.8735259725309763,SHORT,2,0,1
2017-12-25 00:00:00+00:00,2017-12-27 00:00:00+00:00,R5,733.902545910265,764.967062014162,-0.04232784894534942,-0.04472784894534942,0.8845385976808416,SHORT,4,0,0
2018-01-16 00:00:00+00:00,2018-01-18 00:00:00+00:00,R5,1068.6004106894156,1036.072312788025,0.030439907729779732,0.028039907729779733,0.9030020207674134,SHORT,2,0,0
2018-01-18 00:00:00+00:00,2018-01-20 00:00:00+00:00,R5,1036.072312788025,1172.917206223946,-0.1320804462650656,-0.13448044626506558,0.9768616093650647,SHORT,4,0,0
2018-01-20 00:00:00+00:00,2018-01-22 00:00:00+00:00,R5,1172.917206223946,1000.3871327788332,0.14709484397500736,0.14469484397500737,0.7917578798137451,SHORT,2,0,0
2018-01-22 00:00:00+00:00,2018-01-24 00:00:00+00:00,R5,1000.3871327788332,1056.8792325682198,-0.056470238309108564,-0.058870238309108563,0.958751275361127,SHORT,4,0,0
2018-01-30 00:00:00+00:00,2018-02-01 00:00:00+00:00,R5,1161.9086430994253,1106.1381723552724,0.04799901530587074,0.04559901530587074,0.9077842564494281,SHORT,2,0,0
2018-02-01 00:00:00+00:00,2018-02-03 00:00:00+00:00,R5,1106.1381723552724,914.6388425021536,0.1731242394839011,0.1707242394839011,0.9404179253762797,SHORT,2,0,0
2018-02-06 00:00:00+00:00,2018-02-08 00:00:00+00:00,R5,684.3133397266745,751.8878893661607,-0.0987479648818136,-0.1011479648818136,0.9534412115566483,SHORT,2,0,0
2018-02-09 00:00:00+00:00,2018-02-11 00:00:00+00:00,R5,807.8227505154956,854.3498784217315,-0.05759571375842732,-0.05999571375842732,0.9743883262967139,SHORT,2,0,0
2018-02-13 00:00:00+00:00,2018-02-15 00:00:00+00:00,R5,862.7487725902944,915.076543018882,-0.06065238466985021,-0.0630523846698502,0.9850183018348077,SHORT,4,0,0
2018-02-20 00:00:00+00:00,2018-02-22 00:00:00+00:00,R5,928.2902425457684,809.1296597083212,0.1283656526547752,0.12596565265477522,0.969774044983606,SHORT,2,0,1
2018-02-23 00:00:00+00:00,2018-02-25 00:00:00+00:00,R5,812.4468626177468,832.646407106762,-0.024862603843322426,-0.027262603843322426,0.9578736238825573,SHORT,2,0,1
2018-03-07 00:00:00+00:00,2018-03-09 00:00:00+00:00,R5,777.4150482642423,686.2412939120853,0.1172780930285866,0.1148780930285866,0.966876018532916,SHORT,2,0,1
2018-03-12 00:00:00+00:00,2018-03-14 00:00:00+00:00,R5,711.0293462579082,659.5446556854372,0.0724086717987533,0.0700086717987533,0.9464414488301134,SHORT,2,0,0
2018-03-14 00:00:00+00:00,2018-03-16 00:00:00+00:00,R5,659.5446556854372,605.861249219968,0.08139465008579021,0.07899465008579021,0.9823902612069424,SHORT,4,0,0
2018-03-18 00:00:00+00:00,2018-03-20 00:00:00+00:00,R5,508.4931793427744,546.3507587175412,-0.07445051558744134,-0.07685051558744134,0.9861048086488736,SHORT,2,0,0
2018-03-25 00:00:00+00:00,2018-03-27 00:00:00+00:00,R5,517.9183793742644,462.237242098024,0.10750948314194395,0.10510948314194395,0.7443825940531689,SHORT,2,0,1
2018-03-27 00:00:00+00:00,2018-03-29 00:00:00+00:00,R5,462.237242098024,415.8400515885398,0.10037527547303306,0.09797527547303306,0.9310579784914893,SHORT,2,0,0
2018-04-05 00:00:00+00:00,2018-04-07 00:00:00+00:00,R5,378.9321733914444,382.1865578176535,-0.008588303276236418,-0.010988303276236419,0.9601110778967649,SHORT,4,0,0
2018-04-18 00:00:00+00:00,2018-04-20 00:00:00+00:00,R5,507.4187831027186,576.0511027963344,-0.13525774366086543,-0.13765774366086542,0.8721059209140463,SHORT,2,0,0
2018-05-05 00:00:00+00:00,2018-05-07 00:00:00+00:00,R5,800.7933799668303,738.351918164437,0.07797449799719833,0.07557449799719833,0.6745624457399988,SHORT,2,0,1
2018-05-07 00:00:00+00:00,2018-05-09 00:00:00+00:00,R5,738.351918164437,733.7790042695948,0.006193406940975582,0.0037934069409755818,0.9815936245093332,SHORT,2,0,0
2018-05-23 00:00:00+00:00,2018-05-25 00:00:00+00:00,R5,615.2886451861233,592.6024543234166,0.03687081021273219,0.03447081021273219,0.9792728274019454,SHORT,2,0,1
2018-05-28 00:00:00+00:00,2018-05-30 00:00:00+00:00,R5,535.1220382972809,559.1858261401098,-0.0449687849138079,-0.0473687849138079,0.9682411193426068,SHORT,2,0,0
2018-06-24 00:00:00+00:00,2018-06-26 00:00:00+00:00,R5,450.84221492480407,448.0194474038337,0.006261098511906647,0.003861098511906647,0.9836241150456893,SHORT,4,0,0
2018-08-01 00:00:00+00:00,2018-08-03 00:00:00+00:00,R5,421.6037170608572,409.9943979457101,0.02753609288855332,0.02513609288855332,0.8942271608468892,SHORT,2,0,0
2018-09-06 00:00:00+00:00,2018-09-08 00:00:00+00:00,R5,226.51653356399416,212.35629581840715,0.06251304274699464,0.06011304274699464,0.9672070562655961,SHORT,2,0,0
2018-09-11 00:00:00+00:00,2018-09-13 00:00:00+00:00,R5,190.40308505891645,196.8644020370802,-0.033934938481508456,-0.036334938481508455,0.9041430643339362,SHORT,2,0,0
