block_date,block_fullness_delta_1d,eth_burned_delta_1d,eth_burned_zscore_90d,exchange_flow_share,median_gas_delta_1d,median_gas_delta_7d,net_exchange_flow_ratio,smart_contract_ratio_delta_1d,tx_per_active_delta_1d,tx_per_active_zscore_90d,whale_exchange_asymmetry,whale_exchange_flow_ratio,whale_tx_zscore_90d,whale_volume_ratio,whale_volume_ratio_delta_1d,whale_volume_ratio_delta_3d
2023-01-25,0.00016,-196.5321,0.4233,0.258682,-0.2814,-2.3894,-0.034366,0.004526,-0.044,0.6883,-0.129498,-0.031497,0.3438,0.886334,0.015245,0.056982
2023-01-26,-0.000768,27.8701,0.4848,0.268026,0.4818,1.0644,-0.085567,-0.0188,-0.0298,0.4852,-0.326138,-0.080139,0.3565,0.82669,-0.059644,-0.051675
2023-01-27,0.000469,13.6199,0.5102,0.532733,-1.8798,-1.6283,0.076327,0.00452,-0.0765,-0.0191,0.153087,0.07908,0.8427,0.872658,0.045969,0.001569
2023-01-28,0.00117,-555.9911,-0.9008,0.224886,-2.5402,-1.7639,-0.075983,-0.003195,0.0803,0.5097,-0.355554,-0.071763,0.1004,0.811934,-0.060725,-0.0744
2023-01-29,-0.000314,394.2132,0.1172,0.281652,2.866,2.2869,-0.117545,0.01366,-0.0076,0.4508,-0.436925,-0.112772,-0.5215,0.826373,0.014439,-0.000317
2023-01-30,-0.001372,-96.0453,-0.1329,0.305328,-0.0779,1.2003,0.003151,-0.013527,-0.0624,0.0234,0.0219,0.006353,0.0977,0.888689,0.062316,0.01603
2023-01-31,0.000293,669.5252,1.571,0.368325,4.3237,2.8923,0.022847,-0.002293,-0.0125,-0.0629,0.075781,0.026429,-0.0106,0.856929,-0.03176,0.044995
2023-02-01,-0.000391,127.8704,1.7986,0.176793,-2.148,1.0257,-0.053416,0.013036,0.0123,0.0235,-0.308178,-0.048242,0.3275,0.857595,0.000666,0.031222
2023-02-02,-0.000275,188.0518,2.1133,0.26801,6.8523,7.3962,-0.096422,0.004806,0.0077,0.0777,-0.364619,-0.090276,0.7572,0.865257,0.007662,-0.023432
2023-02-03,-0.000234,122.1612,2.2266,0.443091,1.3846,10.6606,0.064992,0.005197,0.1059,0.8248,0.16101,0.068612,0.5587,0.873279,0.008022,0.01635
2023-02-04,0.000426,-633.2748,0.7697,0.184829,-5.5591,7.6417,-0.04265,-0.025311,-0.1168,-0.021,-0.238891,-0.039442,0.7539,0.847477,-0.025802,-0.010117
2023-02-05,9.1e-05,-276.2381,0.1359,0.23115,-3.5644,1.2112,0.036934,0.007652,-0.0636,-0.4808,0.198579,0.041573,0.8857,0.824737,-0.022741,-0.04052
2023-02-06,0.000151,425.6743,1.0936,0.337586,2.8057,4.0949,-0.068675,0.008964,0.0771,0.0884,-0.202467,-0.064189,0.4893,0.838738,0.014001,-0.034541
2023-02-07,-0.000649,768.4621,2.6089,0.281599,7.7923,7.5635,0.027003,0.004569,0.1055,0.861,0.124591,0.032061,0.7671,0.806477,-0.03226,-0.041
2023-02-08,-0.000404,220.3602,2.7764,0.213638,3.0208,12.7323,-0.014646,-0.010167,-0.0091,0.7789,-0.058033,-0.011426,0.891,0.862081,0.055604,0.037344
2023-02-09,0.000628,192.5379,2.838,0.388424,-0.9487,4.9314,-0.046487,-0.018882,0.014,0.8678,-0.121999,-0.044476,-0.667,0.827707,-0.034374,-0.011031
2023-02-10,-0.000232,-1056.5539,0.9038,0.475761,-7.7528,-4.206,-0.054664,-0.019325,-0.1033,0.0871,-0.113573,-0.05269,0.4735,0.9129,0.085193,0.106422
2023-02-11,0.001281,-772.6409,-0.4944,0.325601,-6.6399,-5.2869,0.02067,-0.004949,-0.0315,-0.1518,0.074873,0.023089,-0.2657,0.865476,-0.047423,0.003395
2023-02-12,0.000249,-84.7783,-0.6407,0.230123,-0.9036,-2.6261,-0.006468,0.018819,0.0094,-0.0788,-0.018745,-0.003835,-0.5602,0.802766,-0.06271,-0.024941
2023-02-13,-0.001091,757.4482,0.7437,0.44192,6.9617,1.5299,0.05615,0.030543,-0.0276,-0.2907,0.137428,0.058127,0.0662,0.87444,0.071674,-0.038459
2023-02-14,0.000821,3023.2864,4.7162,0.295687,-0.2352,-6.4976,0.007281,0.016487,0.0224,-0.1138,0.030019,0.008305,1.7874,0.847534,-0.026907,-0.017942
2023-02-15,-0.00197,-1586.9232,2.3337,0.350035,14.3752,4.8568,-0.085475,0.018128,0.1099,0.7472,-0.243792,-0.079618,0.5074,0.816751,-0.030782,0.013985
2023-02-16,0.00015,124.6105,2.3462,0.38829,0.6391,6.4445,-0.004449,-0.029905,-0.0118,0.6452,0.004357,0.001582,0.7482,0.808,-0.008751,-0.06644
2023-02-17,0.000225,-430.3385,1.7291,0.312734,-8.6997,5.4976,-0.039144,-0.019833,-0.0134,0.5319,-0.111404,-0.031571,0.5261,0.787004,-0.020996,-0.060529
2023-02-18,0.000679,-889.3323,0.6043,0.246869,-4.6811,7.4564,0.017042,0.010441,-0.0439,0.1766,0.101978,0.022629,-0.6123,0.785857,-0.001148,-0.030895
2023-02-19,9.2e-05,-229.2587,0.3117,0.430825,-1.6963,6.6637,-0.055243,0.004126,0.1013,0.9834,-0.122571,-0.04932,-0.5781,0.749414,-0.036442,-0.058586
2023-02-20,2.2e-05,672.6962,1.1454,0.227776,5.2753,4.9773,-0.031868,0.006082,-0.0427,0.629,-0.135011,-0.02743,0.6194,0.790063,0.040649,0.003059
2023-02-21,-0.000118,132.3304,1.284,0.248444,1.6736,6.886,-0.027374,-0.00939,-0.0661,0.0883,-0.098955,-0.0223,1.0568,0.813186,0.023123,0.027329
2023-02-22,0.000463,359.3166,1.6818,0.264275,2.428,-5.0611,-0.064384,-0.001349,0.0033,0.1145,-0.250644,-0.061454,0.5733,0.844,0.030815,0.094586
2023-02-23,-0.000717,236.7926,1.9004,0.408548,2.7562,-2.944,-0.005644,0.010323,-0.1644,-1.2267,-0.006399,-0.002491,1.7039,0.84476,0.00076,0.054697
2023-02-24,0.000587,-742.7236,0.9827,0.300621,-6.259,-0.5033,-0.16583,0.006814,-0.0743,-1.779,-0.575605,-0.161694,1.2672,0.845864,0.001104,0.032678
2023-02-25,0.000662,-975.3886,-0.2004,0.134415,-7.8269,-3.649,-0.047816,0.000676,-0.0269,-1.9219,-0.386989,-0.044179,1.7381,0.826863,-0.019001,-0.017137
2023-02-26,0.000336,-54.248,-0.2647,0.344338,-0.6756,-2.6283,0.009124,-0.008216,-0.0269,-2.0475,0.033137,0.010837,1.6407,0.850698,0.023835,0.005938
2023-02-27,-0.000879,250.6357,0.044,0.399292,1.5043,-6.3993,0.070909,-0.023133,0.1037,-1.2215,0.194525,0.074493,0.4619,0.876234,0.025536,0.030371
2023-02-28,-0.00057,122.2468,0.1944,0.173282,0.819,-7.2539,-0.02625,0.000897,0.1897,0.2382,-0.149884,-0.022178,0.8511,0.801104,-0.075131,-0.025759
2023-03-01,0.000293,694.2334,1.0469,0.169757,4.4004,-5.2816,-0.045056,-0.014708,-0.0379,-0.0556,-0.273044,-0.040231,0.3428,0.82084,0.019736,-0.029858
2023-03-02,-0.000263,-367.0131,0.5822,0.355144,-2.1375,-10.1753,-0.005785,0.007171,-0.1082,-0.8895,0.001253,0.000414,1.4836,0.813464,-0.007376,-0.062771
2023-03-03,-3.9e-05,210.8335,0.8368,0.339363,1.1972,-2.719,0.047628,-0.000689,0.1017,-0.093,0.157832,0.0502,1.516,0.844187,0.030724,0.043084
2023-03-04,0.000343,-661.1085,0.0042,0.198504,-3.6667,1.4412,-0.007899,-0.000738,0.0535,0.3261,-0.026521,-0.004571,0.2956,0.792673,-0.051515,-0.028167
2023-03-05,-0.000101,261.0118,0.3327,0.199749,1.6196,3.7363,-0.000807,-0.001381,0.015,0.4411,0.013863,0.00239,0.0011,0.770418,-0.022255,-0.043046
2023-03-06,-0.000436,853.0216,1.3926,0.397004,9.8426,12.0745,0.044929,0.004921,0.0063,0.4871,0.130521,0.049338,0.6688,0.856756,0.086338,0.012569
2023-03-07,-0.00022,-193.8801,1.129,0.240325,-3.3764,7.8791,0.01234,0.00927,0.0343,0.754,0.076812,0.016598,0.068,0.803307,-0.053449,0.010634
2023-03-08,0.000271,84.7832,1.2156,0.224641,-0.5795,2.8993,-0.073517,0.008401,-0.0393,0.4344,-0.334845,-0.069038,0.4646,0.851425,0.048119,0.081007
2023-03-09,-0.000516,324.9625,1.5871,0.38208,2.316,7.3528,-0.00308,0.005124,-0.0622,-0.0689,0.002814,0.001017,0.9418,0.848223,-0.003203,-0.008533
2023-03-10,0.000454,-513.8807,0.9344,0.336398,-1.3579,4.7977,0.021796,-0.002488,0.047,0.3118,0.074846,0.02344,-0.0672,0.848818,0.000595,0.045511
2023-03-11,-0.000797,6104.6385,6.0871,0.512988,29.8969,38.3612,0.032719,0.029289,0.1626,1.6063,0.074598,0.036102,-1.7121,0.84577,-0.003048,-0.005655
2023-03-12,0.001203,-6880.447,-0.1031,0.340535,-40.2666,-3.5249,-0.035861,-0.048067,-0.2426,-0.358,-0.102514,-0.032799,-0.7026,0.865741,0.019971,0.017518
2023-03-13,-0.000963,774.504,0.5932,0.322664,5.1832,-8.1843,-0.040018,-0.040017,-0.2507,-2.3048,-0.109803,-0.032767,2.128,0.861819,-0.003922,0.013001
2023-03-14,0.000813,-63.6832,0.531,0.383279,1.5583,-3.2496,-0.009636,0.033449,0.1952,-0.7511,-0.006893,-0.002468,0.9687,0.850177,-0.011642,0.004407
2023-03-15,-0.0003,-323.6681,0.2339,0.436064,-1.9092,-4.5793,-0.054632,-0.009699,-0.014,-0.853,-0.122122,-0.051231,0.8055,0.881973,0.031796,0.016233
2023-03-16,0.000358,-333.098,-0.0717,0.361316,-1.6444,-8.5397,-0.004485,0.024183,0.1172,0.0787,-0.000429,-0.000146,0.3865,0.841082,-0.040892,-0.020738
2023-03-17,-0.000328,61.4599,-0.0148,0.295819,-0.6569,-7.8387,-0.060225,-0.017552,-0.123,-0.8964,-0.20284,-0.055358,0.5918,0.846155,0.005073,-0.004023
2023-03-18,0.000256,-723.9754,-0.6821,0.460074,-6.6275,-44.363,0.015668,0.000964,0.0251,-0.6892,0.052263,0.023007,1.2231,0.865014,0.01886,-0.016959
2023-03-19,0.000884,2.0392,-0.6745,0.292394,-0.2059,-4.3024,0.02891,0.004472,0.0385,-0.3774,0.125473,0.033931,0.1061,0.837491,-0.027523,-0.00359
2023-03-20,-0.001032,296.199,-0.3946,0.323668,2.5883,-6.8974,-0.068377,-0.002315,-0.0698,-0.9315,-0.209474,-0.064122,1.9692,0.869993,0.032502,0.023839
2023-03-21,0.000108,-200.0784,-0.5784,0.383436,-2.3126,-10.7683,-0.059776,-0.005336,-0.0129,-1.0233,-0.150217,-0.054532,1.2319,0.852206,-0.017788,-0.012808
2023-03-22,-0.000398,118.583,-0.4633,0.440384,0.2266,-8.6324,0.075673,0.007515,-0.0154,-1.1331,0.182181,0.078162,2.1002,0.919495,0.067289,0.082003
2023-03-23,0.000254,289.1082,-0.188,0.434327,3.8527,-3.1354,0.054916,0.007521,-0.0172,-1.2539,0.14111,0.058543,1.948,0.869892,-0.049603,-0.000101
2023-03-24,-0.00037,54.1988,-0.151,0.395726,0.452,-2.0265,0.018311,0.00289,0.0913,-0.518,0.052026,0.019788,2.2846,0.885011,0.015119,0.032805
2023-03-25,0.000195,-581.3869,-0.725,0.175863,-4.8403,-0.2393,0.013493,0.001985,0.0046,-0.495,0.087279,0.013811,2.2623,0.851771,-0.03324,-0.067723
2023-03-26,-4.3e-05,-0.6868,-0.7382,0.259705,0.8796,0.8462,0.031927,0.009996,0.039,-0.1808,0.147112,0.034718,1.4383,0.808961,-0.04281,-0.060931
2023-03-27,-5.1e-05,1051.4435,0.2778,0.336872,5.657,3.9149,0.009203,-0.002526,-0.0125,-0.2759,0.031398,0.009974,1.9204,0.862444,0.053483,-0.022567
2023-03-28,-6e-06,-56.7988,0.2101,0.321412,3.485,9.7125,0.014488,0.022652,-0.1477,-1.4376,0.050354,0.015217,1.6221,0.85593,-0.006514,0.004159
2023-03-29,-0.000244,346.2573,0.5379,0.352281,2.7794,12.2654,0.01721,-0.017711,-0.0562,-1.8301,0.053247,0.017761,2.1421,0.811979,-0.043951,0.003018
2023-03-30,-2.6e-05,221.7817,0.7408,0.307752,2.1021,10.5148,-0.055038,-0.03844,0.0431,-1.4534,-0.177345,-0.050509,2.6413,0.832831,0.020852,-0.029613
2023-03-31,0.000357,-541.1084,0.1915,0.291199,-5.363,4.6999,-0.0314,0.012004,0.0748,-0.8508,-0.10551,-0.02938,1.9589,0.900842,0.068011,0.044912
2023-04-01,-9.2e-05,-614.0747,-0.4326,0.338413,-4.8914,4.6488,-0.046735,0.013334,0.0126,-0.7347,-0.136913,-0.043535,0.873,0.830324,-0.070518,0.018345
2023-04-02,0.001518,-126.0752,-0.5667,0.193087,-1.423,2.3462,-0.053964,0.003459,0.0576,-0.267,-0.304416,-0.051445,0.5249,0.796886,-0.033438,-0.035945
2023-04-03,-0.00127,873.9008,0.3035,0.322128,5.2237,1.9129,0.066303,-0.010124,0.0249,-0.0523,0.225638,0.069076,0.8087,0.878888,0.082002,-0.021955
2023-04-04,6e-06,121.8731,0.4155,0.358941,3.2038,1.6317,-0.055114,0.015993,-0.0627,-0.5435,-0.148277,-0.05013,0.9152,0.852639,-0.026248,0.022315
2023-04-05,-0.000654,532.114,0.935,0.638455,6.3266,5.1789,-0.038575,-0.003913,-0.0286,-0.8147,-0.056658,-0.035328,1.332,0.89328,0.040641,0.096394
2023-04-06,0.000622,-610.3503,0.3085,0.219573,-5.3738,-2.297,-0.030077,-0.013865,0.0383,-0.483,-0.135679,-0.027172,0.0522,0.847354,-0.045926,-0.031533
2023-04-07,0.000617,-507.8904,-0.2174,0.17202,-6.1146,-3.0487,-0.032138,-0.010877,-0.1165,-1.4241,-0.197082,-0.029364,0.81,0.811376,-0.035978,-0.041263
2023-04-08,0.000944,-317.3687,-0.5459,0.250689,-2.2157,-0.373,0.103137,0.006855,0.0951,-0.8257,0.457919,0.105191,-0.8108,0.80415,-0.007226,-0.08913
2023-04-09,0.000145,-42.4389,-0.5866,0.346539,-0.043,1.007,-0.06073,0.03277,0.1122,0.2703,-0.175913,-0.056564,-1.1412,0.785733,-0.018418,-0.061622
2023-04-10,-0.000703,372.4604,-0.2106,0.293931,2.3555,-1.8612,0.041164,-0.03906,-0.2149,-1.7879,0.172657,0.046952,-0.0145,0.838029,0.052296,0.026653
2023-04-11,-0.000961,281.6792,0.0707,0.255998,1.1903,-3.8747,-0.012758,-0.038608,0.0143,-1.6042,-0.027837,-0.006491,0.8506,0.836107,-0.001922,0.031957
2023-04-12,0.000162,-395.8149,-0.3375,0.453313,-1.301,-11.5023,0.155077,0.032762,0.0356,-1.2369,0.362373,0.159038,0.2799,0.893867,0.05776,0.108134
2023-04-13,-7.9e-05,655.6189,0.3286,0.306868,8.0479,1.9194,0.002095,0.023015,-0.2169,-3.0814,0.017229,0.004898,-0.0662,0.842579,-0.051288,0.00455
2023-04-14,-0.000859,-2.4913,0.3186,0.331191,-2.7581,5.2759,0.00742,-0.024793,0.0531,-2.4816,0.028474,0.008814,0.47,0.840244,-0.002335,0.004137
2023-04-15,0.00217,-546.255,-0.2485,0.282374,-4.1208,3.3708,0.022896,0.005162,-0.1033,-3.1453,0.09669,0.025282,1.2506,0.82866,-0.011584,-0.065207
2023-04-16,0.002077,216.673,-0.0311,0.253572,0.9289,4.3427,0.037217,-0.006867,0.2248,-1.2796,0.175462,0.040747,0.0647,0.826553,-0.002107,-0.016026
2023-04-17,-0.003643,729.8118,0.7064,0.243011,7.1936,9.1808,-0.010093,0.015597,0.3019,1.1477,-0.028615,-0.006327,0.2535,0.842985,0.016432,0.002741
2023-04-18,-0.000893,1787.68,2.4294,0.286404,16.3137,24.3042,0.068469,0.010905,0.0914,1.824,0.262242,0.069867,0.9304,0.840906,-0.002079,0.012247
2023-04-19,-8.4e-05,2160.4134,4.0781,0.460823,23.1993,48.8045,0.008074,0.007072,0.1588,2.9089,0.020268,0.009055,1.325,0.888066,0.04716,0.061514
2023-04-20,-0.000201,-595.5701,3.284,0.245161,-11.0032,29.7534,-0.039642,-0.003197,-0.086,2.1845,-0.159588,-0.036572,3.0682,0.870841,-0.017225,0.027856
2023-04-21,0.000904,-2689.3046,0.9973,0.236066,-21.5705,10.9411,-0.013949,0.002126,-0.2519,0.3341,-0.055553,-0.012232,-1.4817,0.84814,-0.022701,0.007234
2023-04-22,0.002733,-235.0573,0.781,0.245801,-3.6821,11.3797,-0.015968,-0.010524,0.0853,0.9504,-0.063662,-0.014395,-1.4441,0.821079,-0.027061,-0.066987
