block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_eth,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_eth,std_whale_tx_size_eth,whale_exchange_deposits_eth,whale_exchange_withdrawals_eth,whale_net_exchange_flow_eth,whale_tx_count,whale_volume_eth,withdrawal_tx_count
2023-01-24 00:00:00+00:00,11,0.7699,0.397,1.0,73,557362.859,-42167.3603,0.603,53,336115.4625,9882.102565,96239.1441,125008.2523,28769.1082,73,557362.859,9
2023-01-25 00:00:00+00:00,9,0.9598,0.2136,1.0,78,675540.0794,-39269.7102,0.7864,62,531233.7413,8654.952471,70674.3409,73631.9972,2957.6563,78,675540.0794,7
2023-01-26 00:00:00+00:00,17,3.7271,0.2719,1.0,67,230198.9157,-19484.0137,0.7281,46,167600.8394,3588.769988,49355.6987,13242.3776,-36113.3212,67,230198.9157,4
2023-01-27 00:00:00+00:00,21,1.0621,0.6809,1.0,65,510049.8332,-17785.653,0.3191,33,162770.4513,13133.378636,178866.8252,168412.5566,-10454.2686,65,510049.8332,11
2023-01-28 00:00:00+00:00,17,2.7065,0.3833,1.0,69,215053.4021,-22026.2771,0.6167,39,132619.5125,3531.256581,60193.5339,22240.3557,-37953.1782,69,215053.4021,13
2023-01-29 00:00:00+00:00,20,3.1444,0.2994,1.0,56,207544.5202,-21219.5294,0.7006,31,145411.6831,3939.453171,47140.844,14991.993,-32148.851,56,207544.5202,5
2023-01-30 00:00:00+00:00,11,1.3619,0.2731,1.0,74,759748.6329,-16677.3878,0.7269,51,552226.5117,24537.309367,119660.4907,87861.6305,-31798.8602,74,759748.6329,12
2023-01-31 00:00:00+00:00,19,1.0633,0.4449,1.0,71,527962.0746,-21816.0265,0.5551,45,293057.3174,10606.474898,121053.0598,113851.6974,-7201.3624,71,527962.0746,7
2023-02-01 00:00:00+00:00,12,2.0885,0.1145,1.0,73,546042.2558,-25387.6187,0.8855,56,483496.8506,22050.33082,42294.4473,20250.9579,-22043.4894,73,546042.2558,5
2023-02-02 00:00:00+00:00,22,1.7846,0.2308,1.0,84,607381.1835,-25871.0258,0.7692,47,467205.0404,12404.845257,89836.6571,50339.486,-39497.1711,84,607381.1835,15
2023-02-03 00:00:00+00:00,11,0.932,0.5201,1.0,69,631552.0258,-22726.874,0.4799,45,303100.0518,16001.747454,158448.5898,170003.3841,11554.7943,69,631552.0258,13
2023-02-04 00:00:00+00:00,14,1.4512,0.136,1.0,54,420137.8371,-18807.3433,0.864,33,363007.2845,25493.049511,33823.5082,23307.0444,-10516.4637,54,420137.8371,7
2023-02-05 00:00:00+00:00,11,0.3965,0.2976,1.0,52,301244.5343,-8679.3587,0.7024,30,211589.8182,13471.729746,25453.8374,64200.8787,38747.0412,52,301244.5343,11
2023-02-06 00:00:00+00:00,16,4.4058,0.4099,1.0,66,356948.1525,-17306.1996,0.5901,43,210626.2949,7336.405011,119254.302,27067.5556,-92186.7464,66,356948.1525,7
2023-02-07 00:00:00+00:00,31,0.5624,0.5213,1.0,96,395957.2858,-8020.0113,0.4787,52,189561.5126,7265.276087,74296.9088,132098.8644,57801.9556,96,395957.2858,13
2023-02-08 00:00:00+00:00,10,0.6414,0.1912,1.0,74,640397.545,-1049.2234,0.8088,56,517963.9681,18050.077139,47840.7753,74592.8016,26752.0263,74,640397.545,8
2023-02-09 00:00:00+00:00,26,4.2086,0.4859,1.0,98,558576.9365,-19292.0242,0.5141,53,287162.5154,8694.96967,219305.5989,52108.8221,-167196.7768,98,558576.9365,19
2023-02-10 00:00:00+00:00,5,1.2341,0.6966,1.0,94,1241565.9902,-33887.1928,0.3034,30,376706.9897,27090.156796,477735.1932,387123.8073,-90611.3859,94,1241565.9902,59
