avg_whale_tx_size_weth,block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,max_whale_tx_size_weth,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_weth,net_flow_ma30,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_weth,std_whale_tx_size_weth,volume_ma30,volume_ma7,volume_std30,volume_std7,volume_vs_ma30,volume_vs_ma7,volume_zscore_30d,volume_zscore_7d,whale_exchange_deposits_weth,whale_exchange_withdrawals_weth,whale_net_exchange_flow_weth,whale_tx_count,whale_weth_transfer_velocity,withdrawal_tx_count,eth_price,btc_price,eth_daily_return,eth_log_return,eth_ma7,eth_ma30,eth_vs_ma7,eth_vs_ma30,eth_vol7,eth_vol30,eth_ret7d,eth_ret30d,eth_rsi,eth_ret_lag1,eth_ret_lag3,eth_ret_lag7,btc_daily_return,btc_log_return,btc_ma7,btc_ma30,btc_vs_ma7,btc_vs_ma30,btc_vol7,btc_vol30,btc_ret7d,btc_ret30d,btc_rsi,btc_ret_lag1,btc_ret_lag3,btc_ret_lag7,eth_btc_ratio,eth_btc_ratio_ma7,eth_btc_corr_30d,eth_outperformance,next_day_return,next_day_price_direction
435.065725,2024-07-31,0,0.0,0.0003,38920.8455,0.6883,179,774945.7257,76.0948,34.3653,0.9997,2587,1125650.0968,1932.846231,1517312.9526,1526509.3687,788621.191,421546.2951,0.7421,0.7376,-0.4963,-0.9502,0.0,300.0,300.0,2588,1125950.0968,1,3276.981779516743,66219.05102486102,-0.01204736380143201,-0.012120521453658505,3272.816625776649,3273.044505770521,1.0012726511186998,1.001202939263209,0.029318701474129183,0.029049285242519478,-0.05914526298276879,-0.04609079363718227,40.921374682992024,0.013472067568840007,-0.007191562058725176,0.0115915101740649,-0.00825621153288536,-0.008290482811632487,66908.68900180879,62762.515187145116,0.9896928487579675,1.0550732523610504,0.01695915789015429,0.024125415621313286,0.004195077618719845,0.05554619997323895,54.725450500753006,-0.02156913906995006,0.001989271410399507,-0.02463174466687923,0.049486993981330926,0.04892768294284127,0.7864340446085976,-0.0037911522685466492,-0.01339799169102962,0
378.037585,2024-08-01,0,0.0,0.0,37784.6992,0.6443,144,566779.147,76.0948,34.3653,1.0,2327,879693.4596,1556.802626,1478127.5142,1384049.4085,790174.3236,450875.4041,0.5951,0.6356,-0.7573,-1.1186,0.0,0.0,0.0,2327,879693.4596,0,3233.076804863122,64679.77864703252,-0.01339799169102962,-0.013488554598750606,3258.0589903230607,3266.213429965961,0.9923321874974825,0.9898547275573525,0.02557334492587184,0.02913181130387634,-0.0309627321649113,-0.0596078339026368,41.441548261276274,-0.01204736380143201,0.005603881483310369,-0.04209135821783638,-0.023245159119701042,-0.023519588949385516,66805.29521849554,62824.51373307225,0.9681834117413712,1.0295309076619819,0.01909840682508089,0.02456509502201338,-0.011066014730728102,0.029607794333499804,52.69609019552384,-0.00825621153288536,0.0027453961232892787,-0.00817201364034359,0.049985897795144264,0.048781063890076824,0.7846113665432698,0.009847167428671422,-0.008917289274846363,0
612.29779,2024-08-02,0,0.0,0.0,38612.7312,0.7657,312,1413159.3655,77.8791,34.3653,1.0,3014,1845465.5402,2491.810143,1491802.0638,1372153.9053,792951.1777,434926.1879,1.2371,1.3449,0.446,1.0883,0.0,0.0,0.0,3014,1845465.5402,0,3204.2465237463616,65357.52960767435,-0.008917289274846363,-0.008957286252805691,3262.413722525759,3259.091699905912,0.982170502049518,0.9831716376188084,0.017008866530821676,0.029152494701286225,0.009604725240373257,-0.06250972826005785,37.289566595852286,-0.01339799169102962,0.013472067568840007,-0.04874050389271001,0.010478560298426753,0.010424040712583951,66749.23321678424,62935.01255209138,0.9791502682197112,1.0384923583446948,0.01949894469852413,0.0244818331495136,-0.005968581431453068,0.053430488707090884,55.74794210509917,-0.023245159119701042,-0.02156913906995006,0.005296785391466274,0.04902643265405974,0.048889098203147165,0.7808144377729705,-0.019395849573273116,-0.06895397885732713,0
695.900578,2024-08-03,0,0.0,0.0,37770.7832,0.7467,346,1542812.1915,79.4491,34.3653,1.0,2969,2066128.8163,2474.009728,1501241.1817,1495676.8106,798204.5293,496760.6801,1.3763,1.3814,0.7077,1.1483,0.0,0.0,0.0,2969,2066128.8163,0,2983.300976694291,61407.29547397454,-0.06895397885732713,-0.07144657097977136,3220.287153835236,3248.6747836480563,0.9264083711110347,0.9183132124244929,0.026549225409573024,0.03105757043388852,-0.08995398513086339,-0.09481967508379985,23.970444716012665,-0.008917289274846363,-0.01204736380143201,0.032902124731638116,-0.060440383187860935,-0.062344006248148676,65818.80450082311,62973.76637574618,0.9329749444660089,0.9751250244042104,0.02404065126010042,0.02645045660246645,-0.09589182245544203,0.019298213467038083,32.66116534899483,0.010478560298426753,-0.00825621153288536,0.03300888314713002,0.04858219131240953,0.04893438212194613,0.8089278403554071,-0.00851359566946619,-0.025671547428866126,0
642.909158,2024-08-04,0,0.0,0.0,36633.5662,0.7331,265,1375770.5142,79.4491,34.3653,1.0,2919,1876651.8323,2520.758497,1497133.3371,1562181.3852,795863.5031,514402.4221,1.2535,1.2013,0.4769,0.6113,0.0,0.0,0.0,2919,1876651.8323,0,2906.7150241765007,60738.7449250574,-0.025671547428866126,-0.026006811886682146,3170.587632634338,3243.26383775947,0.916774857208853,0.8962314414064242,0.026785969746784228,0.028816297635241763,-0.1068934433367289,-0.052892173702549505,20.846114483481443,-0.06895397885732713,-0.01339799169102962,-0.007191562058725176,-0.010887151823849361,-0.010946850556123641,64773.56686301882,63092.0854024452,0.937708819610102,0.9626999097846178,0.023083072293230453,0.024708439759989643,-0.1075103895157683,0.06206718063928229,28.862439896066704,-0.060440383187860935,-0.023245159119701042,0.001989271410399507,0.04785602711684207,0.04893910473760612,0.7785179841984918,-0.014784395605016765,-0.07715845189235504,0
390.369863,2024-08-05,5,0.9385,0.0003,75000.0,0.5971,531,2654424.3031,80.9423,40.7644,0.9995,11378,4443402.3079,2093.831612,1604390.1256,1901564.4738,958518.4637,1213629.2626,2.7709,2.3378,2.9641,2.0962,683.9973,728.7907,44.7934,11388,4445532.0036,4,2682.4373928187924,58006.206586686734,-0.07715845189235504,-0.08029772973895054,3086.242955798432,3233.198480770154,0.8691595027471931,0.8296544145906658,0.03329016660629373,0.031651297136649686,-0.18039712002652997,-0.10117976868658973,16.1661858357149,-0.025671547428866126,-0.008917289274846363,0.005603881483310369,-0.044988389894164094,-0.04603178139641894,63311.27531196703,63134.29686029904,0.9162065730134243,0.9187748889488778,0.023705372647298655,0.026124420469934802,-0.14999565871207454,0.022318413756806876,20.367586216436806,-0.010887151823849361,0.010478560298426753,0.0027453961232892787,0.046243971993066874,0.04869405848063635,0.8061187458258028,-0.032170061998190946,-0.09946411204296901,0
663.346799,2024-08-06,1,0.4314,0.0001,34946.8606,0.7459,332,1605202.5912,83.8221,61.5986,0.9999,3242,2151679.547,2323.830064,1638510.887,2055902.6808,959204.4534,1157896.2521,1.3133,1.0467,0.5352,0.0829,65.5368,151.9333,86.3965,3244,2151897.0171,1,2415.6311394312143,53956.26184159744,-0.09946411204296901,-0.10476526179319788,2957.4842344638605,3211.5112708193924,0.8167858043947022,0.7521789387383606,0.03724204354179003,0.03566133851491974,-0.2717295020674907,-0.21218649560681568,13.6063943630664,-0.07715845189235504,-0.06895397885732713,0.013472067568840007,-0.06981916217942807,-0.07237626246821206,61480.695443840574,62991.822783211384,0.8776130694696466,0.8565597796286964,0.029602689976568477,0.028692034127827504,-0.19191249795742948,-0.07340179932745616,16.440630236015593,-0.044988389894164094,-0.060440383187860935,-0.02156913906995006,0.04477017230220515,0.04799309816500836,0.8421563931736443,-0.029644949863540937,0.016509241236510208,1
702.047381,2024-08-07,0,0.0,0.0,34799.4175,0.7796,378,1716914.2756,33.8171,18.7414,1.0,3137,2202322.6344,2216.745192,1661282.9121,2209670.1862,964368.7388,1082855.6582,1.3257,0.9967,0.561,-0.0068,0.0,0.0,0.0,3137,2202322.6344,0,2455.51137665051,55959.84107399357,0.016509241236510208,0.016374445276134762,2840.131319768684,3195.741609007537,0.8645767044498845,0.7683698111666445,0.04247788635338291,0.035187666882553974,-0.2506789656265269,-0.16154123318220381,14.506290978692505,-0.09946411204296901,-0.025671547428866126,-0.01204736380143201,0.03713339590274356,0.036460557331958986,60015.09402228808,62994.47163975548,0.9324294493850415,0.8883293980781262,0.03864548637452287,0.02862047110169731,-0.1549283747212834,0.0014220680477841086,26.817832140920515,-0.06981916217942807,-0.010887151823849361,-0.00825621153288536,0.04387988474455602,0.04719208255975481,0.8329853140494966,-0.020624154666233352,-0.04639401458512382,0
693.291538,2024-08-08,1,999.0,0.0001,34585.8045,0.7615,257,1382614.1954,30.0885,-5.4139,0.9995,2617,1814885.3857,2557.15668,1676392.7521,2343389.7688,963075.1724,939560.3692,1.0831,0.7748,0.1447,-0.5616,169.087,0.0,-169.087,2619,1815730.5374,0,2341.590346028249,55099.95181146735,-0.04639401458512382,-0.047504706039243776,2712.7761113637025,3173.2585087486586,0.863171249635909,0.7379135168384471,0.04088944366028146,0.035318057367755624,-0.2757393382965475,-0.22363208460991701,14.375282532520188,0.016509241236510208,-0.07715845189235504,-0.01339799169102962,-0.015366184857266152,-0.015485468206815206,58646.54733149306,62942.298675687045,0.9395259280997571,0.8754041871805837,0.038755468300051624,0.028642339849776346,-0.14811162060160654,-0.02762172478161773,26.2589717083181,0.03713339590274356,-0.044988389894164094,-0.023245159119701042,0.04249713963526406,0.046122259965486204,0.8326337197970108,-0.03102782972785767,0.14666203473282402,1
669.046305,2024-08-09,1,999.0,0.0002,34423.4504,0.7557,215,1129504.0565,4.5493,-43.4393,0.9998,2233,1494383.2684,2326.842168,1559492.0252,2293273.1839,730221.5053,979072.0112,0.9584,0.6518,-0.0888,-0.8157,266.1777,0.0,-266.1777,2234,1494649.4461,0,2685.012750687489,61859.03159904161,0.14666203473282402,0.13685514323185022,2638.599858069578,3160.6225217542483,1.0175899701032605,0.8495202233758746,0.08345276084976554,0.045065356065526,-0.16204551341817208,-0.12371677000232228,37.45990675886116,-0.04639401458512382,-0.09946411204296901,-0.008917289274846363,0.12266943192076574,0.11570927082125818,58146.76190168838,63071.32294525231,1.0638431027961583,0.9807790404640315,0.06718710759669588,0.03623245544595795,-0.053528614524346096,0.06675015222942315,44.96896086137352,-0.015366184857266152,-0.06981916217942807,0.010478560298426753,0.043405347307911755,0.045319247773179354,0.8965963094876026,0.023992602812058283,-0.030848523676505035,0
